Species,Family,Signal_Type,Fppeak,Fp_mean_K,Fp_max,Fp_min,Dur,IPI,Data
Chaerephon atsinanana,Molossidae,QCF,37.485,,46.875,31.25,9.167,106.126,complete
Chaerephon atsinanana,Molossidae,QCF,35.611,,48.828,31.25,13.045,75.805,complete
Chaerephon atsinanana,Molossidae,QCF,36.643,,44.922,29.297,14.293,80.875,complete
Chaerephon atsinanana,Molossidae,QCF,37.221,37.859,48.828,29.297,5.752,76.704,complete
Chaerephon atsinanana,Molossidae,QCF,32.999,33.065,39.063,27.344,10.098,73.811,complete
Chaerephon atsinanana,Molossidae,QCF,34.812,36.185,41.016,29.297,6.432,150.515,complete
Chaerephon atsinanana,Molossidae,QCF,36.559,37.069,44.922,27.344,11.375,156.4,complete
Chaerephon atsinanana,Molossidae,QCF,33.577,33.594,39.063,27.344,7.499,80.893,complete
Chaerephon atsinanana,Molossidae,QCF,33.317,33.298,41.016,27.344,11.475,78.799,complete
Chaerephon atsinanana,Molossidae,QCF,32.646,33.172,37.109,27.344,7.104,81.591,complete
Chaerephon atsinanana,Molossidae,QCF,33.438,34.004,39.063,27.344,9.301,61.543,complete
Chaerephon atsinanana,Molossidae,QCF,33.4,34.182,37.109,29.297,3.798,91.297,complete
Chaerephon atsinanana,Molossidae,QCF,33.383,33.434,41.016,27.344,10.204,77.701,complete
Chaerephon atsinanana,Molossidae,QCF,33.609,34.182,41.016,27.344,13.231,100.044,complete
Chaerephon atsinanana,Molossidae,QCF,33.824,34.656,41.016,25.391,9.774,75.707,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,33.097,32.665,37,22,2.32,77.003,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,33.809,32.657,37,23,3.097,22.343,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,33.663,32.471,37,22,3.445,52.566,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,31.106,30.46,35,24,2.756,25.036,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,33.002,32.308,37,22,2.918,72.215,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,32.078,31.63,37,22,2.422,24.936,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,31.876,31.08,36,23,2.396,60.047,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,35.012,34.405,39,23,3.421,66.131,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,32.216,31.697,36,30,3.433,87.576,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,30.967,29.861,34,22,2.862,76.006,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,31.913,30.764,36,23,2.051,34.612,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,32.946,32.36,37,23,2.277,22.343,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,31.733,31.003,36,24,2.832,27.33,complete
Laephotis matroka,Vespertilionidae,FM/QCF,45.061,50.666,86,37,2.244,67.298,complete
Laephotis matroka,Vespertilionidae,FM/QCF,48.029,53.216,51,45,2.887,87.429,complete
Laephotis matroka,Vespertilionidae,FM/QCF,47.07,54.98,77,37,2.278,18.406,complete
Laephotis matroka,Vespertilionidae,FM/QCF,46.036,50.119,75,37,2.225,63.271,complete
Laephotis matroka,Vespertilionidae,FM/QCF,50.226,49.374,74,45,3.082,64.997,complete
Laephotis matroka,Vespertilionidae,FM/QCF,50.954,44.327,73,47,3.428,168.819,complete
Laephotis matroka,Vespertilionidae,FM/QCF,51.061,51.421,56,46,3.407,87.429,complete
Laephotis matroka,Vespertilionidae,FM/QCF,50.86,53.528,70,45,4.266,80.815,complete
Laephotis matroka,Vespertilionidae,FM/QCF,51.024,46.096,53,46,3.765,62.409,complete
Laephotis matroka,Vespertilionidae,FM/QCF,51.218,46.533,74,48,3.01,127.405,complete
Laephotis matroka,Vespertilionidae,FM/QCF,51.162,58.772,54,47,4.508,55.506,complete
Laephotis matroka,Vespertilionidae,FM/QCF,50.221,46.462,56,47,4.319,81.39,complete
Laephotis matroka,Vespertilionidae,FM/QCF,51.042,59.061,53,45,4.474,139.772,complete
Macronycteris commersoni,Hipposideridae,CF/FM,67.266,67.011,75,49,8.291,25.934,complete
Macronycteris commersoni,Hipposideridae,CF/FM,68.12,68.073,75,66,13.481,31.193,complete
Macronycteris commersoni,Hipposideridae,CF/FM,68.011,67.78,74,66,10.209,27.566,complete
Macronycteris commersoni,Hipposideridae,CF/FM,68.125,68.096,76,66,16.622,51.596,complete
Macronycteris commersoni,Hipposideridae,CF/FM,68.187,68.161,75,66,13.499,37.603,complete
Macronycteris commersoni,Hipposideridae,CF/FM,68.12,68.08,75,66,13.481,31.122,complete
Macronycteris commersoni,Hipposideridae,CF/FM,67.897,66.886,73,64,5.506,17.591,complete
Macronycteris commersoni,Hipposideridae,CF/FM,67.577,66.005,73,65,8.347,24.574,complete
Macronycteris commersoni,Hipposideridae,CF/FM,67.25,66.335,72,61,13.125,21.046,complete
Macronycteris commersoni,Hipposideridae,CF/FM,67.25,66.335,72,61,13.125,21.046,complete
Macronycteris commersoni,Hipposideridae,CF/FM,67.933,67.75,73,66,12.826,43.389,complete
Macronycteris commersoni,Hipposideridae,CF/FM,67.284,67.002,73,64,10.567,27.131,complete
Macronycteris commersoni,Hipposideridae,CF/FM,67.339,67.023,74,65,13.403,27.829,complete
Macronycteris commersoni,Hipposideridae,CF/FM,66.21,64.314,69,64,9.704,22.941,complete
Macronycteris commersoni,Hipposideridae,CF/FM,66.667,64.758,73,64,8.077,25.236,complete
Macronycteris commersoni,Hipposideridae,CF/FM,67.663,67.491,73,59,8.224,40.098,complete
Macronycteris commersoni,Hipposideridae,CF/FM,67.563,67.469,73,65,8.294,40.098,complete
Macronycteris commersoni,Hipposideridae,CF/FM,67.105,66.881,74,64,6.609,22.542,complete
Macronycteris commersoni,Hipposideridae,CF/FM,66.925,66.456,72,64,7.487,34.711,complete
Macronycteris commersoni,Hipposideridae,CF/FM,66.963,66.561,73,64,14.47,150.815,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,64.8,60.3,12,90,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,66.7,60,1,152,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,65.6,61.1,14,493,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.2,,66.3,61.1,1,61,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.2,,64.5,60.3,14,121,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.2,,64.8,59.6,17,186,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.2,,64.5,60.7,17,158,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.8,,65.6,58.5,22,62,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.8,,64.8,60.7,20,246,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.2,,65.6,60.7,57,69,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.2,,64.1,60.7,25,85,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.8,,64.1,60.3,18,140,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.8,,64.8,60.3,16,94,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.8,,64.5,60,17,306,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.5,,64.8,59.6,1,168,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.9,,66.4,62,14,65,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.9,,66.4,62.5,2,49,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.9,,66.4,62.5,14,49,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.9,,66.4,62,8,59,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.4,,66.4,62,10,67,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.9,,66.4,62,8,77,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.9,,66.4,57.1,22,47,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.9,,66.4,57.1,18,79,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.4,,66.4,59.5,12,90,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.4,,65.9,57.1,20,47,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.9,,67.3,56.6,18,133,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.4,,65.9,54.1,12,55,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.4,,65.9,56.1,22,61,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.4,,65.9,61,24,57,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.4,,65.9,51.7,16,71,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.9,,66.8,54.6,10,92,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.4,,65.9,54.6,24,38,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.9,,65.4,61,20,88,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.9,,65.9,60,18,65,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.9,,65.4,59.5,18,45,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.9,,65.4,61,10,69,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.5,,64.9,53.2,14,49,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.9,,65.4,61,20,61,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.9,,66.4,56.6,6,57,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.5,,66.8,51.2,2,81,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.5,,65.4,61,18,49,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.5,,65.4,51.7,2,61,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.9,,69.3,54.6,2,86,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.5,,65.9,52.2,18,57,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.9,,66.4,51.2,12,80,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.9,,65.4,60.5,14,77,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.4,,65.9,54.6,24,38,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.9,,65.4,59.5,18,45,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.5,,65.4,51.7,2,61,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.4,,68.3,58.5,20,56,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.9,,67.3,58.1,32,43,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.4,,67.3,51.2,18,75,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.4,,68.8,50.2,26,94,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.4,,65.9,50.2,24,61,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.4,,66.8,50.7,24,53,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.4,,66.4,49.8,28,90,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.9,,65.4,53.7,20,77,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.5,,64.9,50.7,24,100,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.9,,65.9,53.7,22,88,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.9,,65.9,50.7,2,61,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.9,,66.8,49.3,14,49,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.5,,65.4,49.8,22,67,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.5,,66.4,50.7,6,88,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.5,,65.9,51.7,18,50,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.5,,65.4,53.7,16,79,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.9,,65.9,50.7,2,61,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.9,,66.8,49.3,14,49,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.4,,66.8,50.7,24,53,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.8,,64.5,61.1,10,58,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63,,64.8,61.5,1,97,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.8,,64.5,61.1,1,50,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,63.7,61.5,1,57,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.8,,64.5,61.1,8,53,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,65.6,60.3,22,72,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.8,,64.1,58.1,13,61,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.5,,64.5,61.1,12,54,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.1,,63,58.8,8,56,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.5,,63.3,58.8,26,76,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.5,,63.7,60.3,4,68,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.5,,63.7,59.6,26,74,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.5,,63.3,59.6,22,125,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.8,,63.7,50.6,12,56,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,64.5,61.1,1,104,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.8,,64.5,60.7,16,50,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.1,,63.7,57.7,22,37,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.2,,64.5,58.1,21,80,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,63.7,60,1,74,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.5,,63.3,60,1,61,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.5,,64.1,60.7,9,58,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.2,,64.1,51,22,62,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.5,,63.7,60.3,1,74,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.2,,66,60,1,50,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.2,,64.8,52.8,24,48,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.8,,63.3,57.3,12,154,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.5,,64.1,51,25,48,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.8,,65.2,49.8,17,102,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.5,,64.1,59.6,5,40,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.5,,64.1,49.8,76,122,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.2,,64.5,59.6,10,200,complete
Macronycteris commersoni,Hipposideridae,CF/FM,60.3,,64.1,57.7,4,90,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,66,61.1,18,81,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,66,62.2,22,82,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,64.8,62.6,16,61,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63,,64.8,61.1,33,42,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63,,64.8,61.8,24,84,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,64.8,62.2,16,53,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,64.1,61.5,28,52,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,64.8,61.5,28,54,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63,,64.8,62.2,20,69,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63,,64.8,61.5,98,52,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,65.2,61.5,25,122,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,64.8,61.1,32,53,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63,,64.8,61.1,20,53,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,65.2,61.1,25,57,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,64.8,61.8,14,49,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,64.8,61.5,18,42,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63,,65.2,61.8,16,49,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,65.6,61.5,10,401,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63,,64.8,60.7,30,69,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,65.2,61.5,25,85,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,64.5,61.1,30,65,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,64.5,60,12,97,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,63.3,62.2,1,121,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.2,,64.1,61.8,30,42,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,64.5,61.5,38,61,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,64.8,61.8,26,160,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.1,,66.3,58.1,18,124,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.1,,65.6,61.8,36,99,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.1,,65.6,62.2,10,62,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,65.2,61.8,24,33,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,66,50.2,25,45,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,66,62.2,14,108,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,65.6,61.8,1,100,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,66.3,62.2,1,28,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,65.6,61.5,10,44,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,66,61.5,9,73,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,66.3,61.5,8,50,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,66,62.6,6,46,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,66,61.8,9,45,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,65.2,62.2,17,40,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,65.6,61.5,2,48,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,65.6,61.8,1,46,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,65.6,61.5,13,28,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,65.6,61.5,13,52,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,65.6,61.5,6,196,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,65.2,61.8,1,45,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,65.2,61.5,14,28,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,66.3,50.6,30,65,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,66,52.1,10,81,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,66,54.7,12,36,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,66.3,55.1,8,80,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,66,52.8,50,77,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,66.7,53.6,18,89,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.1,,66.3,51,6,44,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,66,50.2,17,77,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,66,50.6,10,45,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,65.6,51.7,6,40,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,65.6,49.8,18,45,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,65.2,51.7,24,49,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,66.3,62.6,8,66,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63,,66,52.1,14,41,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63,,65.6,51,29,61,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,65.2,51.3,18,57,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.2,,64.5,52.5,10,64,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.8,,64.5,50.6,9,56,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.8,,64.5,52.5,14,49,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.8,,64.8,51,6,60,complete
Macronycteris commersoni,Hipposideridae,CF/FM,61.8,,66,60.7,6,45,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,67.1,63,22,77,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,67.1,64.1,24,62,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.8,,66.3,62.2,14,118,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,66.7,63.3,20,42,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,66.3,63,17,41,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.1,,66.7,62.6,16,55,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.8,,67.5,63.3,17,46,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,67.1,63.3,16,84,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.8,,67.1,63.3,14,56,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,66.3,63.3,21,40,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,67.8,63.3,21,74,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,67.1,63.3,20,50,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.1,,66.3,55.1,24,73,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,67.1,63.3,20,48,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,67.5,63.3,20,60,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,67.1,58.1,18,52,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,67.1,63.3,58,56,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,66.7,63.3,21,97,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,66.7,63,18,45,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.8,,66.7,63,17,44,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,66.7,63,18,38,complete
Macronycteris commersoni,Hipposideridae,CF/FM,65.2,,67.1,62.6,4,48,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,66.7,62.6,13,26,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,66.7,63,17,42,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,66.3,63,24,38,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.1,,66,57.3,21,99,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,66.3,62.6,26,93,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,66.7,64.1,12,48,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,66.7,63.3,20,42,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.1,,66.3,63.7,16,73,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.1,,66.7,63.3,24,38,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.1,,66.3,62.6,21,48,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,66.7,62.6,17,49,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,65.6,62.6,30,40,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,66,61.8,22,82,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,65.6,61.8,9,53,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,66.3,62.2,20,41,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63,,66,62.6,16,80,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,66,62.6,25,46,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,66.7,63,9,57,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.1,,66,62.6,9,33,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.1,,65.2,62.2,1,49,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,65.6,63,1,62,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,64.8,62.6,21,36,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,64.8,62.2,1,109,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63,,66,62.2,26,68,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,66.3,62.6,14,58,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63,,65.2,61.8,16,74,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63,,65.6,62.2,13,66,complete
Macronycteris commersoni,Hipposideridae,CF/FM,62.6,,64.5,62.2,13,40,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63,,65.2,61.5,24,49,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,65.2,61.5,24,201,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,65.2,61.8,14,297,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,64.5,61.8,16,294,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.1,,66.3,62.2,1,83,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.1,,66.3,61.8,5,200,complete
Macronycteris commersoni,Hipposideridae,CF/FM,65.2,,67.1,63,5,76,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.8,,66.7,62.2,16,141,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,67.1,62.6,17,46,complete
Macronycteris commersoni,Hipposideridae,CF/FM,65.2,,67.1,62.2,8,56,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,65.6,61.1,64,40,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.8,,67.1,62.2,4,164,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63,,64.8,60.7,14,28,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.7,,66.7,61.8,10,114,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,65.2,61.1,22,60,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63,,67.1,61.8,18,57,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,66.7,62.6,29,61,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.1,,66.7,62.2,10,52,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.1,,66.3,62.2,13,80,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.1,,66.3,61.8,28,69,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63,,66.3,60.7,22,49,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,65.6,60.7,5,121,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,66,60.7,29,65,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,65.2,61.8,12,80,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63.3,,65.2,61.5,21,154,complete
Macronycteris commersoni,Hipposideridae,CF/FM,63,,65.2,61.1,4,48,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.1,,66.7,61.5,18,132,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.5,,67.1,58.5,12,42,complete
Macronycteris commersoni,Hipposideridae,CF/FM,64.8,,66.7,61.8,8,34,complete
